"Página","Selector","Origen","ID","Descripción","Impacto","WCAG","Solución","Ayuda (URL)"
"https://www.hiexperience.es/blog/accesibilidad-digital-hoja-de-ruta","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.hiexperience.es/blog/como-crear-enlaces-accesibles","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.hiexperience.es/blog/design-ops-optimizando-la-funcin-de-diseo-en-equipos-de-producto-digital","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.hiexperience.es/blog/el-reto-de-adoptar-una-cultura-de-datos-en-las-organizaciones","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.hiexperience.es/blog/el-reto-de-adoptar-una-cultura-de-datos-en-las-organizaciones","body","sitemap","link-name","Ensure links have discernible text","serious","cat.name-role-value, wcag2a, wcag244, wcag412, section508, section508.22.a, TTv5, TT6.a, EN-301-549, EN-9.2.4.4, EN-9.4.1.2, ACT, RGAAv4, RGAA-6.2.1","Links must have discernible text","https://dequeuniversity.com/rules/axe/4.11/link-name?application=axeAPI"
"https://www.hiexperience.es/blog/escalar-equipos-sin-comprometer-eficiencia","body","sitemap","frame-title","Ensure <iframe> and <frame> elements have an accessible name","serious","cat.text-alternatives, wcag2a, wcag412, section508, section508.22.i, TTv5, TT12.d, EN-301-549, EN-9.4.1.2, RGAAv4, RGAA-2.1.1","Frames must have an accessible name","https://dequeuniversity.com/rules/axe/4.11/frame-title?application=axeAPI"
"https://www.hiexperience.es/blog/escribir-un-buen-alt-text","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.hiexperience.es/blog/gua-rpida-lo-que-toda-empresa-debera-saber-sobre-accesibilidad-digital-en-2025","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.hiexperience.es/blog/los-3-por-qu-cmo-tener-impacto-estratgico-mediante-diseo","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.hiexperience.es/blog/sesgos-accesibilidad-web","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.hiexperience.es/podcast-hug/accesibilidad-digital","body","sitemap","image-alt","Ensure <img> elements have alternative text or a role of none or presentation","critical","cat.text-alternatives, wcag2a, wcag111, section508, section508.22.a, TTv5, TT7.a, TT7.b, EN-301-549, EN-9.1.1.1, ACT, RGAAv4, RGAA-1.1.1","Images must have alternative text","https://dequeuniversity.com/rules/axe/4.11/image-alt?application=axeAPI"
"https://www.hiexperience.es/podcast-hug/accesibilidad-digital-research","body","sitemap","frame-title","Ensure <iframe> and <frame> elements have an accessible name","serious","cat.text-alternatives, wcag2a, wcag412, section508, section508.22.i, TTv5, TT12.d, EN-301-549, EN-9.4.1.2, RGAAv4, RGAA-2.1.1","Frames must have an accessible name","https://dequeuniversity.com/rules/axe/4.11/frame-title?application=axeAPI"
"https://www.hiexperience.es/podcast-hug/branding-digital","body","sitemap","frame-title","Ensure <iframe> and <frame> elements have an accessible name","serious","cat.text-alternatives, wcag2a, wcag412, section508, section508.22.i, TTv5, TT12.d, EN-301-549, EN-9.4.1.2, RGAAv4, RGAA-2.1.1","Frames must have an accessible name","https://dequeuniversity.com/rules/axe/4.11/frame-title?application=axeAPI"
"https://www.hiexperience.es/podcast-hug/design-ops","body","sitemap","image-alt","Ensure <img> elements have alternative text or a role of none or presentation","critical","cat.text-alternatives, wcag2a, wcag111, section508, section508.22.a, TTv5, TT7.a, TT7.b, EN-301-549, EN-9.1.1.1, ACT, RGAAv4, RGAA-1.1.1","Images must have alternative text","https://dequeuniversity.com/rules/axe/4.11/image-alt?application=axeAPI"
"https://www.hiexperience.es/podcast-hug/design-system","body","sitemap","frame-title","Ensure <iframe> and <frame> elements have an accessible name","serious","cat.text-alternatives, wcag2a, wcag412, section508, section508.22.i, TTv5, TT12.d, EN-301-549, EN-9.4.1.2, RGAAv4, RGAA-2.1.1","Frames must have an accessible name","https://dequeuniversity.com/rules/axe/4.11/frame-title?application=axeAPI"
"https://www.hiexperience.es/podcast-hug/design-systems-design-ops","body","sitemap","frame-title","Ensure <iframe> and <frame> elements have an accessible name","serious","cat.text-alternatives, wcag2a, wcag412, section508, section508.22.i, TTv5, TT12.d, EN-301-549, EN-9.4.1.2, RGAAv4, RGAA-2.1.1","Frames must have an accessible name","https://dequeuniversity.com/rules/axe/4.11/frame-title?application=axeAPI"
"https://www.hiexperience.es/podcast-hug/designops-ia-hug17","body","sitemap","frame-title","Ensure <iframe> and <frame> elements have an accessible name","serious","cat.text-alternatives, wcag2a, wcag412, section508, section508.22.i, TTv5, TT12.d, EN-301-549, EN-9.4.1.2, RGAAv4, RGAA-2.1.1","Frames must have an accessible name","https://dequeuniversity.com/rules/axe/4.11/frame-title?application=axeAPI"
"https://www.hiexperience.es/podcast-hug/diseno-en-bbva","body","sitemap","frame-title","Ensure <iframe> and <frame> elements have an accessible name","serious","cat.text-alternatives, wcag2a, wcag412, section508, section508.22.i, TTv5, TT12.d, EN-301-549, EN-9.4.1.2, RGAAv4, RGAA-2.1.1","Frames must have an accessible name","https://dequeuniversity.com/rules/axe/4.11/frame-title?application=axeAPI"
"https://www.hiexperience.es/podcast-hug/diseno-y-finanzas","body","sitemap","frame-title","Ensure <iframe> and <frame> elements have an accessible name","serious","cat.text-alternatives, wcag2a, wcag412, section508, section508.22.i, TTv5, TT12.d, EN-301-549, EN-9.4.1.2, RGAAv4, RGAA-2.1.1","Frames must have an accessible name","https://dequeuniversity.com/rules/axe/4.11/frame-title?application=axeAPI"
"https://www.hiexperience.es/podcast-hug/hug18-uxwriting","body","sitemap","link-name","Ensure links have discernible text","serious","cat.name-role-value, wcag2a, wcag244, wcag412, section508, section508.22.a, TTv5, TT6.a, EN-301-549, EN-9.2.4.4, EN-9.4.1.2, ACT, RGAAv4, RGAA-6.2.1","Links must have discernible text","https://dequeuniversity.com/rules/axe/4.11/link-name?application=axeAPI"
"https://www.hiexperience.es/podcast-hug/hug19-analitica-producto","body","sitemap","link-name","Ensure links have discernible text","serious","cat.name-role-value, wcag2a, wcag244, wcag412, section508, section508.22.a, TTv5, TT6.a, EN-301-549, EN-9.2.4.4, EN-9.4.1.2, ACT, RGAAv4, RGAA-6.2.1","Links must have discernible text","https://dequeuniversity.com/rules/axe/4.11/link-name?application=axeAPI"
"https://www.hiexperience.es/podcast-hug/metaverso","body","sitemap","frame-title","Ensure <iframe> and <frame> elements have an accessible name","serious","cat.text-alternatives, wcag2a, wcag412, section508, section508.22.i, TTv5, TT12.d, EN-301-549, EN-9.4.1.2, RGAAv4, RGAA-2.1.1","Frames must have an accessible name","https://dequeuniversity.com/rules/axe/4.11/frame-title?application=axeAPI"
"https://www.hiexperience.es/podcast-hug/narrativa-digital","body","sitemap","frame-title","Ensure <iframe> and <frame> elements have an accessible name","serious","cat.text-alternatives, wcag2a, wcag412, section508, section508.22.i, TTv5, TT12.d, EN-301-549, EN-9.4.1.2, RGAAv4, RGAA-2.1.1","Frames must have an accessible name","https://dequeuniversity.com/rules/axe/4.11/frame-title?application=axeAPI"
"https://www.hiexperience.es/podcast-hug/no-code","body","sitemap","frame-title","Ensure <iframe> and <frame> elements have an accessible name","serious","cat.text-alternatives, wcag2a, wcag412, section508, section508.22.i, TTv5, TT12.d, EN-301-549, EN-9.4.1.2, RGAAv4, RGAA-2.1.1","Frames must have an accessible name","https://dequeuniversity.com/rules/axe/4.11/frame-title?application=axeAPI"
"https://www.hiexperience.es/podcast-hug/producto-digital-creando-equipos-de-alto-impacto","body","sitemap","frame-title","Ensure <iframe> and <frame> elements have an accessible name","serious","cat.text-alternatives, wcag2a, wcag412, section508, section508.22.i, TTv5, TT12.d, EN-301-549, EN-9.4.1.2, RGAAv4, RGAA-2.1.1","Frames must have an accessible name","https://dequeuniversity.com/rules/axe/4.11/frame-title?application=axeAPI"
"https://www.hiexperience.es/podcast-hug/researchops","body","sitemap","frame-title","Ensure <iframe> and <frame> elements have an accessible name","serious","cat.text-alternatives, wcag2a, wcag412, section508, section508.22.i, TTv5, TT12.d, EN-301-549, EN-9.4.1.2, RGAAv4, RGAA-2.1.1","Frames must have an accessible name","https://dequeuniversity.com/rules/axe/4.11/frame-title?application=axeAPI"
"https://www.hiexperience.es/podcast-hug/seguridad-digital","body","sitemap","frame-title","Ensure <iframe> and <frame> elements have an accessible name","serious","cat.text-alternatives, wcag2a, wcag412, section508, section508.22.i, TTv5, TT12.d, EN-301-549, EN-9.4.1.2, RGAAv4, RGAA-2.1.1","Frames must have an accessible name","https://dequeuniversity.com/rules/axe/4.11/frame-title?application=axeAPI"
